118,AUDI,New A4 Saloon,3.2 V6 265ps Multitronic,34.4,194
119,AUDI,New A4 Saloon,3.2 V6 FSI quattro 265PS Tiptronic,31.4,215
120,AUDI,New A4 Saloon,2.0 CR TDI 120PS,55.4,134
121,AUDI,New A4 Saloon,2.0 TDI 143PS with DPF,51.4,144
122,AUDI,New A4 Saloon,2.0 TDI 143PS Multitronic with DPF,48.7,154
123,AUDI,New A4 Saloon,2.0 CR TDI 170PS with DPF,53.3,140
124,AUDI,New A4 Saloon,2.0 CR TDI quattro 170PS with DPF,47.9,156
125,AUDI,New A4 Saloon,2.7 V6 TDI 190PS Multitronic with DPF,42.8,176
126,AUDI,New A4 Saloon,3.0 V6 TDI quattro 240PS with DPF,40.9,183
127,AUDI,New A4 Saloon,3.2 V6 FSI quattro 265PS,31.7,213
128,AUDI,A4 Avant,1.8 T 163ps,34.0,199
129,AUDI,A4 Avant,1.8 T 163ps Multitronic,33.6,202
130,AUDI,A4 Avant,1.8 T 163ps quattro,31.4,216
131,AUDI,A4 Avant,2.0 130ps,34.4,193
132,AUDI,A4 Avant,2.0 130ps Multitronic,34.9,194
133,AUDI,A4 Avant,2.0 TFSI 200ps,36.2,186
134,AUDI,A4 Avant,2.0 TFSI 200ps Multitronic,34.9,194
135,AUDI,A4 Avant,2.0 TFSI 200ps quattro,32.1,209
136,AUDI,A4 Avant,2.0 TFSI 200ps quattro Tiptronic,29.7,226
137,AUDI,A4 Avant,2.0 TFSI 220ps Special Edition,34.9,194
138,AUDI,A4 Avant,2.0 TFSI 220ps quattro Special Edition,31.4,214
139,AUDI,A4 Avant,3.2 V6 256ps Multitronic,29.4,228
140,AUDI,A4 Avant,3.2 V6 256ps quattro,26.6,252
141,AUDI,A4 Avant,3.2 V6 256ps quattro Tiptronic,26.6,252
142,AUDI,A4 Avant,1.9 TDI 115ps,48.7,154
143,AUDI,A4 Avant,2.0 TDI 140ps,48.7,154
144,AUDI,A4 Avant,2.0 TDI 140ps Multitronic,45.6,164
145,AUDI,A4 Avant,2.0 TDI 170ps with DPF,48.7,154
146,AUDI,A4 Avant,2.0 TDI 170ps quattro,41.5,179
147,AUDI,A4 Avant,2.7 V6 TDI 180ps with DPF,41.5,182
148,AUDI,A4 Avant,2.7 V6 TDI 180ps Multitronic with DPF,41.5,179
149,AUDI,A4 Avant,3.0 V6 TDI 233ps quattro,37.7,198
150,AUDI,A4 Avant,3.0 V6 TDI 233ps quattro Tiptronic,34.0,222
151,AUDI,New A4 Avant,1.8 TFSI 160ps,39.2,160
152,AUDI,New A4 Avant,2.0 TFSI 180PS,41.5,170
153,AUDI,New A4 Avant,2.0 TFSI 180PS Multitronic,38.7,175
154,AUDI,New A4 Avant,2.0 TFSI 210PS,41.5,160
155,AUDI,New A4 Avant,2.0 TFSI quattro 210PS,37.2,177
156,AUDI,New A4 Avant,3.2 FSI quattro 265ps,31.0,216
157,AUDI,New A4 Avant,3.2 FSI quattro 265ps Tiptronic,30.7,219
158,AUDI,New A4 Avant,3.2 V6 265ps Multitronic,33.6,199
159,AUDI,New A4 Avant,2.0 CR TDI 120PS with DPF,53.3,140
160,AUDI,New A4 Avant,2.0 TDI 143ps with DPF,52.3,143
161,AUDI,New A4 Avant,2.0 TDI 143ps Multitronic with DPF,47.1,159
162,AUDI,New A4 Avant,2.0 CR TDI 170PS with DPF,50.4,149
163,AUDI,New A4 Avant,2.0 CR TDI quattro 170PS with DPF,45.6,162
164,AUDI,New A4 Avant,2.7 TDI 190ps Multitronic with DPF,43.5,170
165,AUDI,New A4 Avant,3.0 V6 TDI quattro 240ps with DPF ,41.5,179
166,AUDI,A5 Coupé,2.0 FSI 180PS,42.8,154
167,AUDI,A5 Coupé,2.0 FSI 180PS Multitronic,39.8,167
168,AUDI,A5 Coupé,2.0 TFSI 210PS,42.8,154
169,AUDI,A5 Coupé,2.0 TFSI quattro 210PS,38.2,173
170,AUDI,A5 Coupé,3.2 V6 265PS Multitronic,34.4,194
171,AUDI,A5 Coupé,3.2 V6 quattro 265PS,31.7,213
172,AUDI,A5 Coupé,3.2 V6 quattro 265PS Tiptronic,31.4,215
173,AUDI,A5 Coupé,2.0 CR TDI 170PS with DPF,53.3,140
174,AUDI,A5 Coupé,2.0 CR TDI quattro 170PS with DPF,47.9,156
175,AUDI,A5 Coupé,2.7 V6 TDI 190PS Multitronic with DPF ,42.2,179
176,AUDI,A5 Coupé,3.0 V6 TDI quattro 240PS with DPF,42.8,172
177,AUDI,A5 Coupé,3.0 V6 TDI quattro 240PS Tiptronic with DPF,40.9,182
178,AUDI,A6 Saloon,2.0 TFSI 170ps,35.8,187
179,AUDI,A6 Saloon,2.0 TFSI 170ps Multitronic,34.4,194
180,AUDI,A6 Saloon,2.4 V6 177ps,29.1,231
181,AUDI,A6 Saloon,2.4 V6 177ps Multitronic,29.4,229
182,AUDI,A6 Saloon,2.4 V6 177ps quattro,25.9,257
183,AUDI,A6 Saloon,2.8 V6 FSI 210ps,32.5,207
184,AUDI,A6 Saloon,2.8 V6 FSI 210ps Multitronic,32.1,209
185,AUDI,A6 Saloon,2.8 V6 FSI 210ps quattro Tiptronic,29.1,231
186,AUDI,A6 Saloon,3.2 V6 FSI 256ps,29.1,231
187,AUDI,A6 Saloon,3.2 V6 FSI 256ps Multitronic,29.4,229
188,AUDI,A6 Saloon,3.2 V6 FSI 256ps quattro,26.4,255
189,AUDI,A6 Saloon,3.2 V6 FSI 256ps quattro Tiptronic,25.9,259
190,AUDI,A6 Saloon,4.2 V8 FSI 350ps quattro Tiptronic,26.2,257
191,AUDI,A6 Saloon,2.0 TDI 140ps,46.3,159
192,AUDI,A6 Saloon,2.0 TDI 140ps Multitronic with DPF,42.2,178
193,AUDI,A6 Saloon,2.7 V6 TDI 180ps,40.9,184
194,AUDI,A6 Saloon,2.7 V6 TDI 180ps Multitronic,39.2,192
195,AUDI,A6 Saloon,2.7 V6 TDI 180ps Multitronic with DPF,38.7,194
196,AUDI,A6 Saloon,2.7 V6 TDI 180ps quattro Tiptronic,33.6,222
197,AUDI,A6 Saloon,3.0 V6 TDI 233ps quattro,35.3,213
198,AUDI,A6 Saloon,3.0 V6 TDI 233ps quattro Tiptronic,34.0,222
199,AUDI,A6 Avant,2.0 TFSI 170ps,34.9,192
200,AUDI,A6 Avant,2.0 TFSI 170ps Multitronic,34.4,194
201,AUDI,A6 Avant,2.4 V6 177ps,28.5,233
202,AUDI,A6 Avant,2.4 V6 177ps Multitronic,29.4,229
203,AUDI,A6 Avant,2.4 V6 177ps quattro,25.9,259
204,AUDI,A6 Avant,2.8 V6 FSI 210ps,32.1,209
205,AUDI,A6 Avant,2.8 V6 FSI 210ps Multitronic,32.1,209
206,AUDI,A6 Avant,2.8 V6 FSI 210ps quattro Tiptronic,29.1,231
207,AUDI,A6 Avant,3.2 V6 FSI 256ps,28.8,233
208,AUDI,A6 Avant,3.2 V6 FSI 256ps Multitronic,29.4,229
209,AUDI,A6 Avant,3.2 V6 FSI 256ps quattro,26.2,257
210,AUDI,A6 Avant,3.2 V6 FSI 256ps quattro Tiptronic,25.9,259
211,AUDI,A6 Avant,4.2 V8 FSI 350ps quattro Tiptronic,25.9,259
212,AUDI,A6 Avant,2.0 TDI 140ps,45.6,162
213,AUDI,A6 Avant,2.0 TDI 140ps Multitronic with DPF,42.2,178
214,AUDI,A6 Avant,2.7 V6 TDI 180ps,39.8,189
215,AUDI,A6 Avant,2.7 V6 TDI 180ps Multitronic,38.2,197
216,AUDI,A6 Avant,2.7 V6 TDI 180ps Multitronic with DPF,37.7,199
217,AUDI,A6 Avant,2.7 V6 TDI 180ps quattro Tiptronic,33.2,225
218,AUDI,A6 Avant,3.0 V6 TDI 233ps quattro,34.9,215
219,AUDI,A6 Avant,3.0 V6 TDI 233ps quattro Tiptronic,33.6,225
220,AUDI,A8,2.8 V6 FSI 210PS Multitronic,34.0,199
221,AUDI,A8,3.2 V6 FSI 260ps Multitronic,28.5,234
222,AUDI,A8,3.2 V6 FSI 260ps Multitronic LWB,28.5,234
223,AUDI,A8,3.2 V6 FSI 260ps quattro Tiptronic,25.9,259
224,AUDI,A8,4.2 V8 FSI 350ps quattro Tiptronic,25.9,259
225,AUDI,A8,4.2 V8 FSI 350ps quattro LWB Tiptronic,25.9,259
226,AUDI,A8,6.0 W12 450ps quattro Tiptronic,20.8,324
227,AUDI,A8,6.0 W12 450ps quattro LWB Tiptronic,20.8,324
228,AUDI,A8,3.0 V6 TDI 233ps quattro Tiptronic,33.6,224
229,AUDI,A8,3.0 V6 TDI 233ps quattro LWB Tiptronic with DPF,33.6,224
230,AUDI,A8,4.2 V8 TDI 326ps quattro Tiptronic with DPF,30.1,249
231,AUDI,A8,4.2 V8 TDI 326ps quattro LWB Tiptronic with DPF,30.1,249
232,AUDI,R8,4.2 V8 quattro 420ps,19.3,349
233,AUDI,R8,4.2 V8 quattro 420ps R-Tronic,20.8,325
234,AUDI,R8,5.2 V10 FSI quattro 525PS,19.2,351
235,AUDI,R8,5.2 V10 FSI quattro 525PS R-Tronic,20.6,327
236,AUDI,S Series,S3 2.0T FSI quattro 265ps,31.0,217
237,AUDI,S Series,S4 4.2 V8 quattro 344ps Saloon,21.2,321
238,AUDI,S Series,S4 4.2 V8 quattro Tiptronic 344ps Saloon,23.5,286
239,AUDI,S Series,S4 4.2 V8 quattro 344ps Avant,21.2,321
240,AUDI,S Series,S4 4.2 V8 quattro Tiptronic 344ps Avant,23.5,286
241,AUDI,S Series,S4 4.2 V8 quattro 344ps Cabriolet,21.2,317
242,AUDI,S Series,S4 4.2 V8 quattro Tiptronic 344ps Cabriolet,23.3,289
243,AUDI,S Series,RS4 4.2 V8 quattro 420ps Saloon,21.1,322
244,AUDI,S Series,RS4 4.2 V8 quattro 420ps Avant,20.9,324
